issn,eissn,journal_name,category,if_2022,rank,collection,jci,citations,percentageOAGold
2200-6133,2200-6133,Pneumonia,RESPIRATORY SYSTEM - ESCI(N/A),0,N,ESCI,0.56,377,96.77
2383-451X,2383-4501,Pollution,ENVIRONMENTAL SCIENCES - ESCI(N/A),0,N,ESCI,0.28,542,0
1392-1126,1392-1126,Problemos,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.27,40,97
N/A,2227-7382,Proteomes,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI(N/A),0,N,ESCI,0.54,864,94.55
N/A,2077-1444,Religions,RELIGION - AHCI(N/A),0,N,AHCI,1.81,2800,95
1361-7427,1745-8145,SLAVONICA,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.48,27,14.29
0038-1861,2161-6302,SOUNDINGS,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.34,311,0
0799-0537,1534-6714,Small Axe,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,1.38,557,0
N/A,2075-4698,Societies,SOCIOLOGY - ESCI(N/A),0,N,ESCI,0.64,1034,95.53
0082-5433,N/A,TOUNG PAO,ASIAN STUDIES - AHCI(N/A),0,N,AHCI,0.99,252,2.38
0351-3386,2350-3696,Tekstilec,"MATERIALS SCIENCE, TEXTILES - ESCI(N/A)",0,N,ESCI,0.34,222,98.8
1495-7922,2295-5178,Theoforum,RELIGION - ESCI(N/A),0,N,ESCI,0.02,5,0
0049-5123,1804-6509,Umeni-Art,ART - AHCI(N/A),0,N,AHCI,0.1,18,0
0391-4186,N/A,VERIFICHE,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.03,12,0
N/A,2571-631X,Vibration,"MECHANICS - ESCI(N/A); ENGINEERING, MECHANICAL - ESCI(N/A)",0,N,ESCI,0.43,169,90
1812-6804,2521-5280,Vox Juris,LAW - ESCI(N/A),0,N,ESCI,0.02,13,35.53
2254-3376,2254-3376,3C Empresa,BUSINESS - ESCI(N/A),0,N,ESCI,0.02,16,98.65
0044-5851,1712-7432,ACADIENSIS,HISTORY - AHCI(N/A),0,N,AHCI,1.65,233,0
0211-3589,1988-2955,AL-QANTARA,RELIGION - AHCI(N/A); HISTORY - AHCI(N/A),0,N,AHCI,0.25,142,78.05
2162-2574,2162-2582,ARTMargins,ART - AHCI(N/A),0,N,AHCI,0.41,19,2.22
N/A,1999-4893,Algorithms,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A); COMPUTER SCIENCE, THEORY & METHODS - ESCI(N/A)",0,N,ESCI,0.45,2576,96.65
0327-358X,1850-1168,Anales AFA,"PHYSICS, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.04,26,91.38
0003-3170,1695-2987,Angiologia,PERIPHERAL VASCULAR DISEASE - ESCI(N/A),0,N,ESCI,0.02,62,90.82
N/A,2073-4468,Antibodies,IMMUNOLOGY - ESCI(N/A),0,N,ESCI,0.59,1306,95.21
0066-4774,2056-8819,Antichthon,CLASSICS - AHCI(N/A),0,N,AHCI,0.34,80,0
1136-3711,2339-9775,Ars Brevis,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.03,11,0
1078-6279,1934-1539,Arthuriana,"LITERATURE, BRITISH ISLES - AHCI(N/A); MEDIEVAL & RENAISSANCE STUDIES - AHCI(N/A)",0,N,AHCI,0.45,77,0
1122-1151,1572-8390,Axiomathes,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.59,248,29.95
N/A,2398-631X,BMJ Leader,HEALTH CARE SCIENCES & SERVICES - ESCI(N/A),0,N,ESCI,0.48,324,21.09
2073-9745,2310-0028,Bylye Gody,HISTORY - ESCI(N/A),0,N,ESCI,1.96,533,99.12
1996-5621,1996-563X,CAPjournal,ASTRONOMY & ASTROPHYSICS - ESCI(N/A),0,N,ESCI,0.06,16,0
0007-8069,2327-5898,CEA CRITIC,LITERATURE - AHCI(N/A),0,N,AHCI,0.35,38,1.27
2007-7521,2007-7858,CienciaUat,MULTIDISCIPLINARY SCIENCES - ESCI(N/A),0,N,ESCI,0.13,71,93.06
1369-8249,1743-968X,Civil Wars,POLITICAL SCIENCE - ESCI(N/A),0,N,ESCI,0.48,434,22.22
1023-0556,2415-0525,Communitas,COMMUNICATION - ESCI(N/A),0,N,ESCI,0.06,41,63.64
1870-1191,2448-539X,Culturales,SOCIOLOGY - ESCI(N/A),0,N,ESCI,0.03,34,93.55
0012-2440,0012-2440,DICKENSIAN,"LITERATURE, BRITISH ISLES - AHCI(N/A)",0,N,AHCI,1.91,68,0
0011-8265,1805-2991,Demografie,DEMOGRAPHY - ESCI(N/A),0,N,ESCI,0.23,71,0
0926-4981,1564-0094,ERCIM News,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.04,144,0
0165-0106,1572-8420,ERKENNTNIS,PHILOSOPHY - AHCI(N/A),0,N,AHCI,1.6,2137,34.47
0014-4940,1939-926X,EXPLICATOR,LITERATURE - AHCI(N/A),0,N,AHCI,0.34,64,0.93
0013-3205,2299-6184,Ekonomista,ECONOMICS - ESCI(N/A),0,N,ESCI,0.05,113,0
1807-8893,1808-5245,Em Questao,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),0,N,ESCI,0.07,146,91.92
2589-7780,2589-7780,EnergyChem,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A); ENGINEERING, CHEMICAL - ESCI(N/A); ENERGY & FUELS - ESCI(N/A); MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,2.15,1743,0
1590-1807,1590-1807,Snippets,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.19,39,0
N/A,2571-9637,Surfaces,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A); CHEMISTRY, PHYSICAL - ESCI(N/A)",0,N,ESCI,0.38,307,96.23
1069-0697,1534-0627,Symploke,CULTURAL STUDIES - ESCI(N/A),0,N,ESCI,0.07,104,0
1189-4563,1710-0305,Tangence,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.02,28,33.33
0328-1396,0328-1396,Teologia,RELIGION - ESCI(N/A),0,N,ESCI,0.02,29,52.86
0040-571X,2044-2696,Theology,RELIGION - ESCI(N/A),0,N,ESCI,0.61,100,6.8
1138-3305,2340-5007,Tripodos,COMMUNICATION - ESCI(N/A),0,N,ESCI,0.26,159,31.76
0953-8208,1741-6183,Utilitas,PHILOSOPHY - AHCI(N/A),0,N,AHCI,1.1,500,18.67
N/A,2624-8921,Vehicles,"TRANSPORTATION SCIENCE & TECHNOLOGY - ESCI(N/A); ENGINEERING, MECHANICAL - ESCI(N/A)",0,N,ESCI,0.43,108,97.87
0043-342X,N/A,WESTERLY,LITERARY REVIEWS - AHCI(N/A),0,N,AHCI,0.97,20,0
0269-0055,1747-1508,Wasafiri,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.32,106,8.97
1578-4223,2462-7259,deSignis,LINGUISTICS - ESCI(N/A),0,N,ESCI,0.05,39,92.45
2280-9112,2239-6144,AIB Studi,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),0,N,ESCI,0.1,40,0
0126-5008,0126-8694,AKADEMIKA,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.43,260,0
N/A,2624-599X,Acoustics,ACOUSTICS - ESCI(N/A),0,N,ESCI,0.58,237,95.71
N/A,2692-4560,Aggregate,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A); MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A); CHEMISTRY, PHYSICAL - ESCI(N/A)",0,N,ESCI,1.33,539,94.38
N/A,2766-9645,All Earth,"GEOSCIENCES, MULTIDISCIPLINARY - SCIE(N/A)",0,N,SCIE,N/A,0,100
1984-3356,1984-3356,Antiteses,HISTORY - ESCI(N/A),0,N,ESCI,0.14,61,75.51
1935-7001,1935-7001,Architect,ARCHITECTURE - AHCI(N/A),0,N,AHCI,0.01,66,0
1729-3693,1810-5882,Arrancada,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)",0,N,ESCI,0.01,4,0
N/A,2148-3582,Art-Sanat,ART - ESCI(N/A),0,N,ESCI,0.34,31,92.73
2254-0709,2254-0709,Artseduca,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.33,52,61.17
0350-7653,0350-7653,Balcanica,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.05,36,97.67
1499-7185,1499-7185,Belphegor,LITERATURE - ESCI(N/A),0,N,ESCI,0.16,17,59.09
2306-5710,2306-5710,Beverages,FOOD SCIENCE & TECHNOLOGY - ESCI(N/A),0,N,ESCI,0.61,1293,98.1
N/A,2148-5860,Bilimname,RELIGION - ESCI(N/A),0,N,ESCI,0.26,46,100
1665-1456,1665-1456,Biotecnia,BIOTECHNOLOGY & APPLIED MICROBIOLOGY - ESCI(N/A),0,N,ESCI,0.1,187,15
0068-113X,1753-5352,Britannia,ARCHAEOLOGY - AHCI(N/A); HISTORY - AHCI(N/A),0,N,AHCI,0.95,290,7.59
0009-7039,0009-7039,CINEFORUM,"FILM, RADIO, TELEVISION - AHCI(N/A)",0,N,AHCI,0,9,0
0214-8188,2386-7159,Caplletra,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.17,64,98.11
1147-6753,2272-9828,Caravelle,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.12,83,0
2199-3793,2199-3793,ChemTexts,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.39,365,28.77
1221-9118,1842-368X,Chirurgia,SURGERY - ESCI(N/A),0,N,ESCI,0.26,855,94.28
1936-007X,1939-1935,Cityscape,URBAN STUDIES - ESCI(N/A),0,N,ESCI,0.33,807,0
1131-6993,1988-2327,Complutum,ARCHAEOLOGY - AHCI(N/A),0,N,AHCI,0.2,253,78.67
2073-431X,2073-431X,Computers,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.43,854,95.4
0010-8235,2255-2855,Convivium,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0,31,0
N/A,2079-9284,Cosmetics,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI(N/A); DERMATOLOGY - ESCI(N/A),0,N,ESCI,0.58,1328,91.73
0012-5768,0012-5768,DOWN BEAT,MUSIC - AHCI(N/A),0,N,AHCI,0,32,0
2194-8011,2194-802X,Diagnosis,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,1.2,1096,6.67
1690-8961,1690-8961,Dialogica,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0,2,0
1733-5566,1733-5566,Diametros,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.75,77,90.48
1096-6838,1874-6284,East Asia,AREA STUDIES - ESCI(N/A),0,N,ESCI,0.71,171,9.59
N/A,2227-7099,Economies,ECONOMICS - ESCI(N/A),0,N,ESCI,0.7,962,91.94
N/A,2619-9831,Electrica,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)",0,N,ESCI,0.14,70,96.74
2011-4532,2463-1469,Eleuthera,SOCIAL WORK - ESCI(N/A),0,N,ESCI,0.03,18,92.41
1826-8803,1826-8803,Ethnorema,LINGUISTICS - ESCI(N/A),0,N,ESCI,0,6,0
1412-8969,2461-0771,Etikonomi,ECONOMICS - ESCI(N/A),0,N,ESCI,0.12,44,92.31
0046-385X,2585-7061,FILOZOFIA,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.53,151,99.38
1463-6689,1465-9832,Foresight,REGIONAL & URBAN PLANNING - ESCI(N/A),0,N,ESCI,0.43,1011,1.31
N/A,2602-4039,Forestist,FORESTRY - ESCI(N/A),0,N,ESCI,0.22,43,100
0342-5231,2567-6555,GYMNASIUM,CLASSICS - AHCI(N/A),0,N,AHCI,0.36,36,0
N/A,2313-5778,Genealogy,ETHNIC STUDIES - ESCI(N/A); FAMILY STUDIES - ESCI(N/A); SOCIOLOGY - ESCI(N/A),0,N,ESCI,0.25,176,95.02
2228-7817,2228-7817,Geopersia,"GEOSCIENCES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.28,203,0
2172-8690,2172-8690,Gran Tour,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)",0,N,ESCI,0.02,14,0
1526-3819,1536-0105,Grey Room,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,1.22,249,0
0018-2370,1540-6563,HISTORIAN,HISTORY - AHCI(N/A),0,N,AHCI,0.53,190,2.94
N/A,2468-0672,HardwareX,"MATERIALS SCIENCE, MULTIDISCIPLINARY - ESCI(N/A); INSTRUMENTS & INSTRUMENTATION - ESCI(N/A); ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI(N/A)",0,N,ESCI,0.59,543,100
1453-9047,2069-8291,Hermeneia,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.09,57,0
1139-7489,2530-609X,Hermeneus,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.2,32,100
N/A,2306-5338,Hydrology,WATER RESOURCES - ESCI(N/A),0,N,ESCI,0.66,1330,91.18
N/A,2473-4039,JBMR Plus,ENDOCRINOLOGY & METABOLISM - ESCI(N/A),0,N,ESCI,0.6,1045,95.22
N/A,2226-471X,Languages,LANGUAGE & LINGUISTICS - ESCI(N/A); LINGUISTICS - ESCI(N/A),0,N,ESCI,0.68,283,94.1
1257-0273,1768-3084,Lusotopie,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.59,53,0
0041-4255,0041-4255,Belleten,ARCHAEOLOGY - AHCI(N/A); HISTORY - AHCI(N/A),0,N,AHCI,0.14,188,7.69
2257-0543,2425-231X,Bresil-s,AREA STUDIES - ESCI(N/A),0,N,ESCI,0.04,13,98.48
0009-7004,0009-7004,CINEASTE,"FILM, RADIO, TELEVISION - AHCI(N/A)",0,N,AHCI,0.04,97,0
0011-1600,1968-3901,CRITIQUE,LITERARY REVIEWS - AHCI(N/A),0,N,AHCI,0.06,192,0
1315-9453,1315-9453,Contexto,LITERATURE - ESCI(N/A),0,N,ESCI,0.37,3,0
2078-7170,2078-7170,CorSalud,CARDIAC & CARDIOVASCULAR SYSTEMS - ESCI(N/A),0,N,ESCI,0.04,73,0
0247-381X,2272-9852,Criticon,"LITERARY THEORY & CRITICISM - AHCI(N/A); LITERATURE, ROMANCE - AHCI(N/A)",0,N,AHCI,1.04,273,41.11
0304-0941,2197-1722,Decision,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.2,424,2.44
0124-4035,2145-5112,Desafios,POLITICAL SCIENCE - ESCI(N/A),0,N,ESCI,0.17,101,92.19
2611-4127,2611-4135,Detritus,"ENGINEERING, ENVIRONMENTAL - ESCI(N/A)",0,N,ESCI,0.12,349,97.38
1677-1303,1983-9294,Dialogia,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.12,48,88.1
1575-2275,1575-2275,Digithum,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.77,45,86.54
N/A,2079-9721,Diseases,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI(N/A)",0,N,ESCI,0.55,1380,96.24
1478-7318,1478-7318,Dix-Neuf,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.5,35,8.33
1731-6758,1731-7428,E-Mentor,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.12,68,0.79
0101-9031,1984-6444,Educacao,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.03,146,91.77
1935-0791,2152-9604,Ellipsis,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.09,6,0
2362-2148,2362-2148,En Letra,LAW - ESCI(N/A),0,N,ESCI,0.01,2,0
1300-7157,1300-7157,Epilepsi,CLINICAL NEUROLOGY - ESCI(N/A),0,N,ESCI,0.04,84,98.02
0014-0716,0014-0716,Espiritu,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.3,47,0
0015-587X,1469-8315,FOLKLORE,FOLKLORE - AHCI(N/A),0,N,AHCI,1.91,359,1.47
N/A,2633-8823,Function,CELL BIOLOGY - ESCI(N/A); PHYSIOLOGY - ESCI(N/A),0,N,ESCI,0.79,225,97.01
N/A,2075-4434,Galaxies,ASTRONOMY & ASTROPHYSICS - ESCI(N/A),0,N,ESCI,0.34,967,96.56
1415-7543,1981-9021,Geo UERJ,GEOGRAPHY - ESCI(N/A),0,N,ESCI,0.02,67,89.71
1128-8132,1128-8132,GeoMedia,REMOTE SENSING - ESCI(N/A),0,N,ESCI,0.01,12,0
1802-1115,1802-1115,GeoScape,GEOGRAPHY - ESCI(N/A),0,N,ESCI,0.38,78,92.31
1331-2294,1848-9710,Geoadria,GEOGRAPHY - ESCI(N/A),0,N,ESCI,0.14,111,66.67
1426-8981,2080-6574,Geologos,GEOLOGY - ESCI(N/A),0,N,ESCI,0.43,264,100
0167-3831,1876-0759,Grotiana,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.5,40,9.52
0018-098X,1553-5622,HESPERIA,ARCHAEOLOGY - AHCI(N/A),0,N,AHCI,0.48,656,0
1270-0835,N/A,HISTORIA,HISTORY - AHCI(N/A),0,N,AHCI,0.01,426,0
0360-9669,2050-8557,HORIZONS,RELIGION - AHCI(N/A),0,N,AHCI,0.37,95,0
N/A,2571-9408,Heritage,"MULTIDISCIPLINARY SCIENCES - ESCI(N/A); HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,4.17,600,91.21
0122-6517,2382-4700,INGE CUC,"ENGINEERING, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.05,57,43.86
0165-2826,1875-8347,Intertax,LAW - ESCI(N/A),0,N,ESCI,0.71,310,0
1130-2097,1988-8376,Isegoria,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.11,153,85.42
1392-0456,2029-7181,Istorija,HISTORY - ESCI(N/A),0,N,ESCI,0.14,31,96.23
2397-9070,2397-9070,JGH Open,GASTROENTEROLOGY & HEPATOLOGY - ESCI(N/A),0,N,ESCI,0.32,788,95.03
0124-7441,2590-4566,Justicia,LAW - ESCI(N/A),0,N,ESCI,0.09,48,97.83
0023-7930,N/A,LANDFALL,LITERARY REVIEWS - AHCI(N/A),0,N,AHCI,0.78,14,0
0024-094X,1530-9282,LEONARDO,ART - AHCI(N/A),0,N,AHCI,0.8,702,3.91
1895-2038,1734-459X,LogForum,MANAGEMENT - ESCI(N/A),0,N,ESCI,0.39,295,59.06
0213-2338,1989-9904,Lucentum,ARCHAEOLOGY - ESCI(N/A),0,N,ESCI,0.11,93,100
N/A,2215-0161,MethodsX,MULTIDISCIPLINARY SCIENCES - ESCI(N/A),0,N,ESCI,0.42,3007,98.69
2011-9860,2011-9860,Morfolia,ANATOMY & MORPHOLOGY - ESCI(N/A),0,N,ESCI,0.03,13,0
1862-9148,1862-9156,Naharaim,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.32,14,7.14
1988-5105,1988-5105,Observar,ART - ESCI(N/A),0,N,ESCI,1.15,15,0
0030-3887,0975-0320,Opsearch,OPERATIONS RESEARCH & MANAGEMENT SCIENCE - ESCI(N/A),0,N,ESCI,0.32,709,0.49
0362-1596,0362-1596,PARABOLA,RELIGION - AHCI(N/A),0,N,AHCI,0.01,11,0
0313-6221,1832-8334,PARERGON,MEDIEVAL & RENAISSANCE STUDIES - AHCI(N/A),0,N,AHCI,1.16,83,0
1909-7433,2145-308X,Panorama,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.05,126,88.24
2666-3899,2666-3899,Patterns,"COMPUTER SCIENCE, INFORMATION SYSTEMS - ESCI(N/A); COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE - ESCI(N/A); COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS - ESCI(N/A)",0,N,ESCI,0.77,549,99.47
N/A,2226-4787,Pharmacy,PHARMACOLOGY & PHARMACY - ESCI(N/A),0,N,ESCI,0.47,1471,96.19
1656-2534,1656-2534,Plaridel,COMMUNICATION - ESCI(N/A),0,N,ESCI,0.1,20,25
1676-0727,1676-0727,Polem!ca,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.03,26,83.33
1669-6581,1669-6581,Question,COMMUNICATION - ESCI(N/A),0,N,ESCI,0.04,119,78.5
0048-721X,1096-1151,RELIGION,RELIGION - AHCI(N/A),0,N,AHCI,2.44,673,10.09
1331-6745,1849-0379,Rasprave,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.22,43,93.52
1517-3852,2175-6783,Rev Rene,NURSING - ESCI(N/A),0,N,ESCI,0.16,312,100
N/A,2218-6581,Robotics,ROBOTICS - ESCI(N/A),0,N,ESCI,0.6,1264,94.38
0080-5319,N/A,SAECULUM,HISTORY - AHCI(N/A),0,N,AHCI,0.12,52,0
0765-3697,1782-155X,SOCIETES,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.09,51,0
1519-7778,2316-8838,SOLETRAS,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.07,15,83.72
1856-7134,1856-7134,SituArte,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.03,5,0
0013-6662,1988-8384,Emerita,CLASSICS - AHCI(N/A),0,N,AHCI,0.88,85,93.33
1139-5737,2174-0682,Empiria,"SOCIAL SCIENCES, INTERDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.16,92,13.58
0013-7545,1969-6981,Enfance,"PSYCHOLOGY, DEVELOPMENTAL - ESCI(N/A)",0,N,ESCI,0.05,182,0
0210-1564,0210-1564,Euskera,LANGUAGE & LINGUISTICS - ESCI(N/A),0,N,ESCI,0.01,13,0
2211-6249,2211-6257,Fascism,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,1.3,100,97.44
N/A,2188-5729,Formath,FORESTRY - ESCI(N/A),0,N,ESCI,0.16,24,66.67
0363-8057,0363-8057,GRADIVA,LITERARY THEORY & CRITICISM - AHCI(N/A),0,N,AHCI,0,13,0
0436-029X,1988-4168,Gladius,HISTORY - AHCI(N/A),0,N,AHCI,0.45,63,92.59
0018-2648,1468-229X,HISTORY,HISTORY - AHCI(N/A),0,N,AHCI,1.13,295,26.42
1179-6812,1179-6812,He Kupu,EDUCATION & EDUCATIONAL RESEARCH - ESCI(N/A),0,N,ESCI,0.05,19,0
N/A,2324-1128,Hypoxia,PHYSIOLOGY - ESCI(N/A),0,N,ESCI,0.48,525,100
2214-2509,2214-2509,IDCases,INFECTIOUS DISEASES - ESCI(N/A),0,N,ESCI,0.28,1503,98.99
0121-0793,2011-7965,Iatreia,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,0.04,107,46.46
N/A,2732-0960,Imaging,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,0.1,56,100
N/A,2691-3704,JACS Au,"CHEMISTRY, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,N/A,417,94.96
2038-5366,2038-1026,JLIS.it,INFORMATION SCIENCE & LIBRARY SCIENCE - ESCI(N/A),0,N,ESCI,0.13,75,0
0023-8856,2294-4427,LATOMUS,CLASSICS - AHCI(N/A),0,N,AHCI,0.51,265,0
0024-2020,N/A,LIBERTE,LITERARY REVIEWS - AHCI(N/A),0,N,AHCI,0.82,34,0
0024-2160,1744-8581,LIBRARY,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.49,251,1.85
0458-063X,1557-3001,Liturgy,RELIGION - ESCI(N/A),0,N,ESCI,0.38,49,0
2386-2637,2386-2637,Loquens,LINGUISTICS - ESCI(N/A),0,N,ESCI,0.07,38,90
0025-6293,1448-8094,MEANJIN,LITERARY REVIEWS - AHCI(N/A),0,N,AHCI,0.55,69,0
0047-8105,2398-4961,MOREANA,MEDIEVAL & RENAISSANCE STUDIES - ESCI(N/A),0,N,ESCI,0.71,53,0
N/A,2688-2663,MedComm,"MEDICINE, RESEARCH & EXPERIMENTAL - ESCI(N/A)",0,N,ESCI,0.33,124,89.61
0717-6384,0717-6384,Medwave,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,0.15,354,83.62
1309-6915,1309-6915,Megaron,ARCHITECTURE - ESCI(N/A),0,N,ESCI,0.36,123,94.8
2108-6559,2108-6559,Miranda,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.05,25,77.38
N/A,1422-8599,Molbank,"CHEMISTRY, ORGANIC - ESCI(N/A)",0,N,ESCI,0.15,201,90.08
1820-1768,1820-1768,Naslede,"HUMANITIES, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.02,11,31.34
0162-2870,1536-013X,OCTOBER,"HUMANITIES, MULTIDISCIPLINARY - AHCI(N/A)",0,N,AHCI,0.48,904,0
0048-4911,N/A,POSITIF,"FILM, RADIO, TELEVISION - AHCI(N/A)",0,N,AHCI,0.02,68,0
0121-8530,2346-3864,Palabra,LITERATURE - ESCI(N/A),0,N,ESCI,0.79,31,94.34
2624-8174,2624-8174,Physics,"PHYSICS, MULTIDISCIPLINARY - ESCI(N/A)",0,N,ESCI,0.53,912,93.84
1105-848X,1791-4914,Pneumon,RESPIRATORY SYSTEM - ESCI(N/A),0,N,ESCI,0.09,59,32.08
1330-0652,1333-9117,Prostor,ARCHITECTURE - AHCI(N/A),0,N,AHCI,0.62,73,95.71
N/A,2571-841X,Reports,"MEDICINE, GENERAL & INTERNAL - ESCI(N/A)",0,N,ESCI,0.06,147,93.81
0037-0894,1988-320X,SEFARAD,RELIGION - AHCI(N/A),0,N,AHCI,0.31,90,95.24
2426-8887,2426-8887,SICOT-J,ORTHOPEDICS - ESCI(N/A),0,N,ESCI,0.69,671,99.33
1852-4184,1852-4222,SaberEs,ECONOMICS - ESCI(N/A),0,N,ESCI,0.07,21,0
1125-0194,1973-2236,Storica,HISTORY - ESCI(N/A),0,N,ESCI,0,22,0
2509-9396,2509-9396,SynOpen,"CHEMISTRY, ORGANIC - ESCI(N/A)",0,N,ESCI,0.21,126,96.1
1678-6785,1984-6754,Synesis,PHILOSOPHY - ESCI(N/A),0,N,ESCI,0.04,10,0
0497-1817,N/A,TEMENOS,RELIGION - AHCI(N/A),0,N,AHCI,1.37,94,83.87
0161-0775,N/A,THEATER,THEATER - AHCI(N/A),0,N,AHCI,0.27,43,0
0040-5817,1558-5816,THEORIA,SOCIOLOGY - ESCI(N/A),0,N,ESCI,0.43,288,33.9
0040-6325,N/A,THOMIST,RELIGION - AHCI(N/A); PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.57,186,0
0210-1602,N/A,Teorema,PHILOSOPHY - AHCI(N/A),0,N,AHCI,0.31,116,0
1332-7461,1849-1545,Tourism,"HOSPITALITY, LEISURE, SPORT & TOURISM - ESCI(N/A)",0,N,ESCI,0.39,707,69.52
