"ISSN","Journal","Abbr_Name","Is_SCI","IF2018","IF_5year","Self_citing","H_Index","CiteScore","Division","Category","Discipline","IsTop","IsReview","Publication_Cycle","Article_NO._per_year","Publication_year","Region","OA","Employment","Refereeing","View","Url"
"0022-4766","JOURNAL OF STRUCTURAL CHEMISTRY","J STRUCT CHEM+","SCI/SCIE",0.521,0.527,27.4,25,0.51,"4区","化学","无机化学与核化学","否","否","Bimonthly","243",0,"RUSSIA","No","50%","约7.0个月",9990,"https://www.letpub.com.cn/index.php?journalid=5189&page=journalapp&view=detail"
"0733-9445","JOURNAL OF STRUCTURAL ENGINEERING","J STRUCT ENG-ASCE","SCI/SCIE",0,0,NA,117,2.27,"3区","工程技术","结构与建筑技术","否","否","Monthly","248",0,"UNITED STATES","No","容易","约3.0个月",11957,"https://www.letpub.com.cn/index.php?journalid=5190&page=journalapp&view=detail"
"0191-8141","JOURNAL OF STRUCTURAL GEOLOGY","J STRUCT GEOL","SCI/SCIE",2.622,3.13,18.2,106,2.72,"3区","地学","地球科学综合","否","否","Monthly","129",0,"ENGLAND","No","容易","偏慢,4-8周",9091,"https://www.letpub.com.cn/index.php?journalid=5191&page=journalapp&view=detail"
"1937-1888","Journal of Studies on Alcohol and Drugs","J STUD ALCOHOL DRUGS","SCI/SCIE",2.616,2.909,11.6,111,2.55,"3区","医学","心理学","否","否","Bimonthly","99",2007,"UNITED STATES","No","较易","偏慢,4-8周",9545,"https://www.letpub.com.cn/index.php?journalid=5192&page=journalapp&view=detail"
"1741-5993","Journal of Sulfur Chemistry","J SULFUR CHEM","SCIE",1.32,1.157,11.8,25,1.39,"4区","化学","化学综合","否","否","Bimonthly","57",2004,"ENGLAND","No","容易","较慢,6-12周",4616,"https://www.letpub.com.cn/index.php?journalid=5193&page=journalapp&view=detail"
"0920-8542","JOURNAL OF SUPERCOMPUTING","J SUPERCOMPUT","SCI/SCIE",1.532,1.495,15.5,42,1.98,"4区","工程技术","计算机：硬件","否","否","Monthly","264",1987,"UNITED STATES","No","容易","一般,3-6周",17691,"https://www.letpub.com.cn/index.php?journalid=5194&page=journalapp&view=detail"
"1557-1939","Journal of Superconductivity and Novel Magnetism","J SUPERCOND NOV MAGN","SCI/SCIE",1.142,0.946,17.1,36,1.05,"4区","物理","物理：应用","否","否","Bimonthly","483",0,"UNITED STATES","No","容易","约9.3个月",22219,"https://www.letpub.com.cn/index.php?journalid=5195&page=journalapp&view=detail"
"0896-8446","JOURNAL OF SUPERCRITICAL FLUIDS","J SUPERCRIT FLUID","SCI/SCIE",3.122,3.001,19.6,93,3.27,"2区","工程技术","物理化学","否","否","Monthly","281",1988,"NETHERLANDS","No","较易","约4.5个月",23374,"https://www.letpub.com.cn/index.php?journalid=5196&page=journalapp&view=detail"
"1063-4576","Journal of Superhard Materials","J SUPERHARD MATER+","SCIE",0.633,0.703,40.6,15,0.82,"4区","工程技术","材料科学：综合","否","否","Bimonthly","52",0,"UKRAINE","No","容易","较慢,6-12周",4556,"https://www.letpub.com.cn/index.php?journalid=5197&page=journalapp&view=detail"
"1027-4510","Journal of Surface Investigation-X-Ray Synchrotron and Neutron Techniques","J SURF INVEST-X-RAY+","无",0,0,NA,NA,0.49,"未录","","",NA,NA,"Bimonthly","187",0,"RUSSIA","No","容易","一般,3-8周",17854,"https://www.letpub.com.cn/index.php?journalid=5198&page=journalapp&view=detail"
"1097-3958","JOURNAL OF SURFACTANTS AND DETERGENTS","J SURFACTANTS DETERG","SCIE",1.454,1.601,17.3,38,1.47,"4区","工程技术","应用化学","否","否","Quarterly","134",1998,"UNITED STATES","No","较易","约3.0个月",15189,"https://www.letpub.com.cn/index.php?journalid=5199&page=journalapp&view=detail"
"1931-7204","Journal of Surgical Education","J SURG EDUC","SCIE",2.302,2.286,10.1,42,1.9,"4区","医学","学科教育","否","否","Bimonthly","150",2007,"UNITED STATES","No","","偏慢,4-8周",4831,"https://www.letpub.com.cn/index.php?journalid=5200&page=journalapp&view=detail"
"0022-4790","JOURNAL OF SURGICAL ONCOLOGY","J SURG ONCOL","SCI/SCIE",2.886,2.987,3.7,97,2.85,"3区","医学","肿瘤学","否","否","Semimonthly","274",0,"UNITED STATES","No","约50%","平均2月",7928,"https://www.letpub.com.cn/index.php?journalid=5201&page=journalapp&view=detail"
"0022-4804","JOURNAL OF SURGICAL RESEARCH","J SURG RES","SCI/SCIE",2.051,2.177,4.7,93,2.13,"4区","医学","外科","否","否","Monthly","529",1961,"UNITED STATES","No","约72.5%","平均1.6月",11393,"https://www.letpub.com.cn/index.php?journalid=5202&page=journalapp&view=detail"
"0733-9453","JOURNAL OF SURVEYING ENGINEERING","J SURV ENG-ASCE","SCIE",0,0,NA,NA,1.31,"4区","工程技术","工程：土木","否","否","Quarterly","10",0,"UNITED STATES","No","容易",">12周，或约稿",4636,"https://www.letpub.com.cn/index.php?journalid=5203&page=journalapp&view=detail"
"1044-0046","JOURNAL OF SUSTAINABLE AGRICULTURE","J SUSTAIN AGR","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Bimonthly","0",0,"UNITED STATES","No","约50%","平均9月",7120,"https://www.letpub.com.cn/index.php?journalid=5204&page=journalapp&view=detail"
"1537-209X","JOURNAL OF SWINE HEALTH AND PRODUCTION","J SWINE HEALTH PROD","SCIE",0.978,1.281,13.3,30,0.45,"4区","农林科学","兽医学","否","否","Bimonthly","20",2001,"UNITED STATES","No","容易",">36周，或约稿",3458,"https://www.letpub.com.cn/index.php?journalid=5205&page=journalapp&view=detail"
"0747-7171","JOURNAL OF SYMBOLIC COMPUTATION","J SYMB COMPUT","SCI/SCIE",0.755,1.003,19.3,50,1.25,"3区","数学","计算机：理论方法","否","否","Monthly","103",0,"ENGLAND","No","容易","较慢,6-12周",5055,"https://www.letpub.com.cn/index.php?journalid=5206&page=journalapp&view=detail"
"0022-4812","JOURNAL OF SYMBOLIC LOGIC","J SYMBOLIC LOGIC","SCI/SCIE",0.793,0.724,13,39,0.87,"4区","数学","逻辑学","否","否","Quarterly","72",0,"UNITED STATES","No","容易","较慢,6-12周",4215,"https://www.letpub.com.cn/index.php?journalid=5207&page=journalapp&view=detail"
"1527-5256","Journal of Symplectic Geometry","J SYMPLECT GEOM","SCIE",0.541,0.679,3,12,0.59,"4区","数学","数学","否","否","Quarterly","30",0,"UNITED STATES","No","容易",">12周，或约稿",3581,"https://www.letpub.com.cn/index.php?journalid=5208&page=journalapp&view=detail"
"0909-0495","JOURNAL OF SYNCHROTRON RADIATION","J SYNCHROTRON RADIAT","无",0,0,NA,84,3.12,"未录","","","否","否","Bimonthly","176",1994,"DENMARK","No","较易","偏慢,4-8周",9442,"https://www.letpub.com.cn/index.php?journalid=5209&page=journalapp&view=detail"
"0037-9980","JOURNAL OF SYNTHETIC ORGANIC CHEMISTRY JAPAN","J SYN ORG CHEM JPN","SCI/SCIE",0.414,0.362,5.3,NA,0.32,"4区","化学","有机化学","否","否","Monthly","93",1943,"JAPAN","No","容易","较慢,6-12周",4406,"https://www.letpub.com.cn/index.php?journalid=5210&page=journalapp&view=detail"
"1477-2019","JOURNAL OF SYSTEMATIC PALAEONTOLOGY","J SYST PALAEONTOL","SCI/SCIE",2.326,2.796,3.5,39,1.98,"2区","地学","进化生物学","是","否","Quarterly","48",0,"ENGLAND","No","较易",">12周，或约稿",7183,"https://www.letpub.com.cn/index.php?journalid=5211&page=journalapp&view=detail"
"0529-1526","JOURNAL OF SYSTEMATICS AND EVOLUTION","","无",0,0,NA,36,2.89,"未录","","","否","否","Bimonthly","0",0,NA,"No","容易","",3698,"https://www.letpub.com.cn/index.php?journalid=5212&page=journalapp&view=detail"
"0164-1212","JOURNAL OF SYSTEMS AND SOFTWARE","J SYST SOFTWARE","SCIE",2.278,2.401,9.8,89,3.2,"3区","工程技术","计算机：软件工程","否","否","Monthly","209",1979,"UNITED STATES","No","50%","约7.5个月",23407,"https://www.letpub.com.cn/index.php?journalid=5213&page=journalapp&view=detail"
"1383-7621","JOURNAL OF SYSTEMS ARCHITECTURE","J SYST ARCHITECT","SCIE",0.913,1.199,4.7,40,1.59,"4区","工程技术","计算机：硬件","否","否","Monthly","88",0,"NETHERLANDS","No","约25%","平均6月",10505,"https://www.letpub.com.cn/index.php?journalid=5214&page=journalapp&view=detail"
"1004-4132","Journal of Systems Engineering and Electronics","J SYST ENG ELECTRON","SCIE",0.572,0.675,8.6,25,0.94,"4区","工程技术","自动化与控制系统","否","否","Quarterly","127",1996,"PEOPLES R CHINA","No","容易","约7.5个月",35794,"https://www.letpub.com.cn/index.php?journalid=5215&page=journalapp&view=detail"
"1009-6124","Journal of Systems Science & Complexity","J SYST SCI COMPLEX","SCIE",0.53,0.661,12.3,NA,0.73,"4区","数学","数学跨学科应用","否","否","Quarterly","91",0,"PEOPLES R CHINA","No","容易","较慢,6-12周",14856,"https://www.letpub.com.cn/index.php?journalid=5216&page=journalapp&view=detail"
"1004-3756","Journal of Systems Science and Systems Engineering","J SYST SCI SYST ENG","SCIE",0.766,1.279,8.4,20,1.43,"4区","管理科学","运筹学与管理科学","否","否","Quarterly","38",0,"GERMANY","No","容易",">12周，或约稿",8012,"https://www.letpub.com.cn/index.php?journalid=5217&page=journalapp&view=detail"
"0273-5024","JOURNAL OF TEACHING IN PHYSICAL EDUCATION","J TEACH PHYS EDUC","SCIE",1.731,2.658,26.7,45,1.63,"4区","社会科学","运动科学","否","否","Quarterly","43",1981,"UNITED STATES","No","容易",">12周，或约稿",5655,"https://www.letpub.com.cn/index.php?journalid=5218&page=journalapp&view=detail"
"1357-633X","JOURNAL OF TELEMEDICINE AND TELECARE","J TELEMED TELECARE","SCI/SCIE",3.046,2.61,9.8,65,2.1,"4区","医学","卫生保健与服务","否","否","Bimonthly","107",1995,"ENGLAND","No","容易","较慢,6-12周",5353,"https://www.letpub.com.cn/index.php?journalid=5219&page=journalapp&view=detail"
"0022-4898","JOURNAL OF TERRAMECHANICS","J TERRAMECHANICS","SCIE",1.311,1.469,17.5,39,2.06,"4区","工程技术","工程：环境","否","否","Bimonthly","32",0,"ENGLAND","No","容易",">12周，或约稿",6641,"https://www.letpub.com.cn/index.php?journalid=5220&page=journalapp&view=detail"
"0090-3973","JOURNAL OF TESTING AND EVALUATION","J TEST EVAL","SCI/SCIE",0.669,0.721,24.4,29,0.64,"4区","工程技术","材料科学：表征与测试","否","否","Bimonthly","206",1973,"UNITED STATES","No","约75%","约9.0个月",27346,"https://www.letpub.com.cn/index.php?journalid=5221&page=journalapp&view=detail"
"0022-4901","JOURNAL OF TEXTURE STUDIES","J TEXTURE STUD","SCI/SCIE",1.591,1.805,24.3,44,1.62,"4区","工程技术","食品科技","否","否","Bimonthly","67",1969,"UNITED STATES","No","容易",">24周，或约稿",5612,"https://www.letpub.com.cn/index.php?journalid=5222&page=journalapp&view=detail"
"0004-5411","JOURNAL OF THE ACM","J ACM","SCI/SCIE",1.744,2.399,1.9,114,3.49,"3区","工程技术","计算机：硬件","否","否","Bimonthly","37",1954,"UNITED STATES","No","较易","约3.0个月",15232,"https://www.letpub.com.cn/index.php?journalid=5223&page=journalapp&view=detail"
"0001-4966","JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA","J ACOUST SOC AM","SCI/SCIE",1.605,1.845,29.2,158,1.77,"3区","物理","声学","否","否","Monthly","870",0,"UNITED STATES","No","容易","约6.0个月",36071,"https://www.letpub.com.cn/index.php?journalid=5224&page=journalapp&view=detail"
"1047-3289","JOURNAL OF THE AIR & WASTE MANAGEMENT ASSOCIATION","J AIR WASTE MANAGE","无",0,0,NA,NA,NA,"未录","","","否","否","Monthly","0",0,"UNITED STATES","No","容易","约6.0个月",6622,"https://www.letpub.com.cn/index.php?journalid=5225&page=journalapp&view=detail"
"1050-0545","Journal of the American Academy of Audiology","J AM ACAD AUDIOL","SCIE",1.593,1.841,16.3,63,1.41,"4区","医学","听力学与言语病理学","否","否","Monthly","73",1990,"UNITED STATES","No","较易","较慢,6-12周",4146,"https://www.letpub.com.cn/index.php?journalid=5226&page=journalapp&view=detail"
"0890-8567","JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","J AM ACAD CHILD PSY","SCI/SCIE",6.25,8.169,6.2,212,3.96,"1区","医学","儿科","是","否","Monthly","99",1987,"NETHERLANDS","No","较难","较慢,6-12周",6889,"https://www.letpub.com.cn/index.php?journalid=5227&page=journalapp&view=detail"
"0190-9622","JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY","J AM ACAD DERMATOL","SCI/SCIE",6.898,6.449,8.4,182,2.93,"1区","医学","皮肤病学","是","否","Monthly","288",1979,"UNITED STATES","No","较难","一般,3-6周",8640,"https://www.letpub.com.cn/index.php?journalid=5228&page=journalapp&view=detail"
"1041-2972","Journal of the American Academy of Nurse Practitioners","J AM ACAD NURSE PRAC","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","0",0,"UNITED STATES","No","容易","较慢,6-12周",3899,"https://www.letpub.com.cn/index.php?journalid=5229&page=journalapp&view=detail"
"1067-151X","JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS","J AM ACAD ORTHOP SUR","SCIE",2.638,3.432,2.5,91,2.73,"3区","医学","骨科","否","否","Bimonthly","136",1993,"UNITED STATES","No","较易","偏慢,4-8周",5258,"https://www.letpub.com.cn/index.php?journalid=5230&page=journalapp&view=detail"
"0587-2871","JOURNAL OF THE AMERICAN ANIMAL HOSPITAL ASSOCIATION","J AM ANIM HOSP ASSOC","SCI/SCIE",0.602,0.907,0,58,0.89,"4区","农林科学","兽医学","否","否","Bimonthly","49",1968,"UNITED STATES","No","容易","较慢,18-36周",3253,"https://www.letpub.com.cn/index.php?journalid=5231&page=journalapp&view=detail"
"1559-6109","Journal of the American Association for Laboratory Animal Science","J AM ASSOC LAB ANIM","SCIE",1.218,1.645,27.8,40,1.59,"4区","生物","兽医学","否","否","Bimonthly","83",2006,"UNITED STATES","No","容易","较慢,6-12周",4701,"https://www.letpub.com.cn/index.php?journalid=5232&page=journalapp&view=detail"
"1557-2625","Journal of the American Board of Family Medicine","J AM BOARD FAM MED","SCIE",2.515,2.51,12.6,69,1.81,"4区","医学","医学：内科","否","否","Bimonthly","94",2006,"UNITED STATES","Yes","容易","偏慢,4-8周",3672,"https://www.letpub.com.cn/index.php?journalid=5233&page=journalapp&view=detail"
"0002-7820","JOURNAL OF THE AMERICAN CERAMIC SOCIETY","J AM CERAM SOC","SCI/SCIE",2.956,2.971,11.2,167,3.06,"2区","工程技术","材料科学：硅酸盐","是","否","Monthly","590",1918,"UNITED STATES","No","较难","约1.6个月",124905,"https://www.letpub.com.cn/index.php?journalid=5234&page=journalapp&view=detail"
"0002-7863","JOURNAL OF THE AMERICAN CHEMICAL SOCIETY","J AM CHEM SOC","SCI/SCIE",14.357,13.613,7.2,514,14.05,"1区","化学","化学综合","是","否","Weekly","2633",1879,"UNITED STATES","No","60%","约1.9个月",254354,"https://www.letpub.com.cn/index.php?journalid=5235&page=journalapp&view=detail"
"0735-1097","JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY","J AM COLL CARDIOL","SCI/SCIE",16.834,18.737,6.2,383,7.06,"1区","医学","心脏和心血管系统","是","否","Monthly","381",1983,"UNITED STATES","No","很难","较快,2-4周",42691,"https://www.letpub.com.cn/index.php?journalid=5236&page=journalapp&view=detail"
"0731-5724","JOURNAL OF THE AMERICAN COLLEGE OF NUTRITION","J AM COLL NUTR","SCI/SCIE",2.175,2.294,3.6,107,2.12,"4区","医学","营养学","否","否","Bimonthly","81",1982,"UNITED STATES","No","较易",">12周，或约稿",4849,"https://www.letpub.com.cn/index.php?journalid=5237&page=journalapp&view=detail"
"1072-7515","JOURNAL OF THE AMERICAN COLLEGE OF SURGEONS","J AM COLL SURGEONS","SCI/SCIE",4.767,4.972,4.9,151,2.8,"2区","医学","外科","是","否","Monthly","206",1994,"UNITED STATES","No","较难","一般,3-6周",9225,"https://www.letpub.com.cn/index.php?journalid=5238&page=journalapp&view=detail"
"0002-8177","JOURNAL OF THE AMERICAN DENTAL ASSOCIATION","J AM DENT ASSOC","SCI/SCIE",2.486,2.52,11,100,1.11,"4区","医学","牙科与口腔外科","否","否","Monthly","86",1939,"UNITED STATES","No","较易","较慢,6-12周",6239,"https://www.letpub.com.cn/index.php?journalid=5239&page=journalapp&view=detail"
"0002-8223","JOURNAL OF THE AMERICAN DIETETIC ASSOCIATION","J AM DIET ASSOC","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","0",1925,"UNITED STATES","No","一般",">12周，或约稿",4509,"https://www.letpub.com.cn/index.php?journalid=5240&page=journalapp&view=detail"
"0002-8614","JOURNAL OF THE AMERICAN GERIATRICS SOCIETY","J AM GERIATR SOC","SCI/SCIE",4.155,5.109,8.2,199,2.42,"2区","医学","老年医学","是","否","Monthly","373",1953,"UNITED STATES","No","较难","一般,3-6周",9579,"https://www.letpub.com.cn/index.php?journalid=5241&page=journalapp&view=detail"
"0002-8711","JOURNAL OF THE AMERICAN HELICOPTER SOCIETY","J AM HELICOPTER SOC","SCI/SCIE",0.703,0.9,23.5,46,1.74,"4区","工程技术","工程：宇航","否","否","Quarterly","43",0,"UNITED STATES","No","容易",">12周，或约稿",5758,"https://www.letpub.com.cn/index.php?journalid=5242&page=journalapp&view=detail"
"0002-9726","JOURNAL OF THE AMERICAN LEATHER CHEMISTS ASSOCIATION","J AM LEATHER CHEM AS","SCIE",0.699,0.652,35.3,28,0.62,"4区","工程技术","应用化学","否","否","Monthly","45",0,"UNITED STATES","No","容易","约3.0个月",6803,"https://www.letpub.com.cn/index.php?journalid=5243&page=journalapp&view=detail"
"0894-0347","JOURNAL OF THE AMERICAN MATHEMATICAL SOCIETY","J AM MATH SOC","SCI/SCIE",4.625,4.138,0.8,77,4.87,"1区","数学","数学","是","否","Quarterly","25",0,"UNITED STATES","No","较难",">12周，或约稿",18541,"https://www.letpub.com.cn/index.php?journalid=5244&page=journalapp&view=detail"
"0002-9955","JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION","","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Weekly","0",0,NA,"No","容易","",3204,"https://www.letpub.com.cn/index.php?journalid=5245&page=journalapp&view=detail"
"1525-8610","Journal of the American Medical Directors Association","J AM MED DIR ASSOC","SCIE",5.325,5.751,24.2,67,4.21,"2区","医学","老年医学","是","否","Monthly","212",2000,"UNITED STATES","No","较易","一般,3-8周",8880,"https://www.letpub.com.cn/index.php?journalid=5246&page=journalapp&view=detail"
"1067-5027","JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION","J AM MED INFORM ASSN","SCI/SCIE",4.27,4.337,8.5,NA,4.11,"2区","医学","计算机：信息系统","否","否","Bimonthly","178",0,"UNITED STATES","No","很难","一般,3-8周",12133,"https://www.letpub.com.cn/index.php?journalid=5247&page=journalapp&view=detail"
"8756-971X","JOURNAL OF THE AMERICAN MOSQUITO CONTROL ASSOCIATION","J AM MOSQUITO CONTR","SCI/SCIE",0.827,0.945,24.2,50,0.79,"4区","生物","昆虫学","否","否","Quarterly","52",0,"UNITED STATES","No","容易","较慢,6-12周",4033,"https://www.letpub.com.cn/index.php?journalid=5248&page=journalapp&view=detail"
"0003-021X","JOURNAL OF THE AMERICAN OIL CHEMISTS SOCIETY","J AM OIL CHEM SOC","SCI/SCIE",1.601,1.863,9.7,NA,1.72,"4区","工程技术","应用化学","否","否","Monthly","135",1947,"UNITED STATES","No","66%","约2.5个月",16248,"https://www.letpub.com.cn/index.php?journalid=5249&page=journalapp&view=detail"
"1544-3191","JOURNAL OF THE AMERICAN PHARMACISTS ASSOCIATION","J AM PHARM ASSOC","SCIE",1.315,1.684,20.4,NA,1.01,"4区","医学","药学","否","否","Bimonthly","116",2003,"UNITED STATES","No","容易","较慢,6-12周",3837,"https://www.letpub.com.cn/index.php?journalid=5250&page=journalapp&view=detail"
"8750-7315","JOURNAL OF THE AMERICAN PODIATRIC MEDICAL ASSOCIATION","J AM PODIAT MED ASSN","SCIE",0.445,0.599,7.2,50,0.48,"4区","医学","骨科","否","否","Bimonthly","93",1985,"UNITED STATES","No","容易","较慢,6-12周",6273,"https://www.letpub.com.cn/index.php?journalid=5251&page=journalapp&view=detail"
"1527-3741","JOURNAL OF THE AMERICAN POMOLOGICAL SOCIETY","J AM POMOL SOC","SCIE",0.277,0.433,23.1,NA,NA,"4区","农林科学","农艺学","否","否","Quarterly","27",0,"UNITED STATES","No","容易",">36周，或约稿",3678,"https://www.letpub.com.cn/index.php?journalid=5252&page=journalapp&view=detail"
"0003-1062","JOURNAL OF THE AMERICAN SOCIETY FOR HORTICULTURAL SCIENCE","J AM SOC HORTIC SCI","SCI/SCIE",0.816,1.211,11.4,68,1.14,"4区","农林科学","园艺","否","否","Bimonthly","52",1969,"UNITED STATES","No","容易","较慢,12-24周",12189,"https://www.letpub.com.cn/index.php?journalid=5253&page=journalapp&view=detail"
"1532-2882","JOURNAL OF THE AMERICAN SOCIETY FOR INFORMATION SCIENCE AND TECHNOLOGY","J AM SOC INF SCI TEC","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","0",2001,"UNITED STATES","No","容易","一般,3-8周",13392,"https://www.letpub.com.cn/index.php?journalid=5254&page=journalapp&view=detail"
"1044-0305","JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY","J AM SOC MASS SPECTR","SCI/SCIE",2.869,2.613,16.3,113,2.61,"3区","化学","生化与分子生物学","否","否","Monthly","279",1990,"UNITED STATES","No","较难","一般,3-6周",12563,"https://www.letpub.com.cn/index.php?journalid=5255&page=journalapp&view=detail"
"0095-9650","JOURNAL OF THE AMERICAN SOCIETY OF AGRONOMY","","无",0,0,NA,NA,NA,"未录","","",NA,NA,"Monthly","0",0,NA,"No","容易","",3137,"https://www.letpub.com.cn/index.php?journalid=5256&page=journalapp&view=detail"
"0361-0470","JOURNAL OF THE AMERICAN SOCIETY OF BREWING CHEMISTS","J AM SOC BREW CHEM","SCI/SCIE",0.88,0.935,28.8,34,0.86,"4区","工程技术","生物工程与应用微生物","否","否","Quarterly","44",1976,"UNITED STATES","No","容易","约3.0个月",5082,"https://www.letpub.com.cn/index.php?journalid=5257&page=journalapp&view=detail"
"0894-7317","JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY","J AM SOC ECHOCARDIOG","SCI/SCIE",6.827,5.638,12.1,115,4.68,"2区","医学","心脏和心血管系统","否","否","Monthly","116",1988,"UNITED STATES","No","较易","偏慢,4-8周",7862,"https://www.letpub.com.cn/index.php?journalid=5258&page=journalapp&view=detail"
"1933-1711","Journal of the American Society of Hypertension","J AM SOC HYPERTENS","SCIE",2.62,2.946,2.4,38,1.95,"3区","医学","外周血管病","否","否","Bimonthly","89",2007,"UNITED STATES","No","较易","较慢,6-12周",4148,"https://www.letpub.com.cn/index.php?journalid=5259&page=journalapp&view=detail"
"1046-6673","JOURNAL OF THE AMERICAN SOCIETY OF NEPHROLOGY","J AM SOC NEPHROL","SCI/SCIE",8.655,9.01,6.7,NA,7.16,"1区","医学","泌尿学与肾脏学","是","否","Monthly","319",0,"UNITED STATES","No","较难","一般,3-8周",10023,"https://www.letpub.com.cn/index.php?journalid=5260&page=journalapp&view=detail"
"0162-1459","JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION","J AM STAT ASSOC","SCI/SCIE",2.297,3.226,5.5,155,2.16,"2区","数学","统计学与概率论","是","否","Quarterly","131",1922,"UNITED STATES","No","约5%","平均12月",18369,"https://www.letpub.com.cn/index.php?journalid=5261&page=journalapp&view=detail"
"1093-474X","JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION","J AM WATER RESOUR AS","SCI/SCIE",2.16,2.338,12,86,2.3,"4区","环境科学与生态学","工程：环境","否","否","Bimonthly","96",0,"UNITED STATES","No","较易","约3.0个月",14067,"https://www.letpub.com.cn/index.php?journalid=5262&page=journalapp&view=detail"
"0003-2778","Journal of the Anatomical Society of India","J ANAT SOC INDIA","SCIE",0.118,0.178,0,NA,0.14,"4区","医学","解剖学与形态学","否","否","Semiannual","41",1952,"INDIA","No","容易",">12周，或约稿",3590,"https://www.letpub.com.cn/index.php?journalid=5263&page=journalapp&view=detail"
"1536-9323","Journal of the Association for Information Systems","J ASSOC INF SYST","SCIE",2.839,3.717,6.3,NA,4.14,"3区","工程技术","计算机：信息系统","否","否","Monthly","28",0,"UNITED STATES","No","容易",">12周，或约稿",6293,"https://www.letpub.com.cn/index.php?journalid=5264&page=journalapp&view=detail"
"0021-9142","JOURNAL OF THE ASTRONAUTICAL SCIENCES","J ASTRONAUT SCI","SCIE",1.406,1.134,6.6,42,0.96,"4区","工程技术","工程：宇航","否","否","Quarterly","19",0,"UNITED STATES","No","容易","",9924,"https://www.letpub.com.cn/index.php?journalid=5265&page=journalapp&view=detail"
"0022-4928","JOURNAL OF THE ATMOSPHERIC SCIENCES","J ATMOS SCI","SCI/SCIE",3.159,3.5,20,NA,3.13,"2区","地学","气象与大气科学","是","否","Semimonthly","216",0,"UNITED STATES","No","较易","一般,3-6周",19985,"https://www.letpub.com.cn/index.php?journalid=5266&page=journalapp&view=detail"
"1549-4950","JOURNAL OF THE AUDIO ENGINEERING SOCIETY","J AUDIO ENG SOC","SCI/SCIE",0.774,0.877,43.7,NA,0.97,"4区","工程技术","声学","否","否","Monthly","66",0,"UNITED STATES","No","容易","较慢,6-12周",5215,"https://www.letpub.com.cn/index.php?journalid=5267&page=journalapp&view=detail"
"1446-7887","JOURNAL OF THE AUSTRALIAN MATHEMATICAL SOCIETY","J AUST MATH SOC","SCIE",0.744,0.591,0,30,0.53,"4区","数学","数学","否","否","Bimonthly","51",0,"AUSTRALIA","No","容易",">12周，或约稿",4626,"https://www.letpub.com.cn/index.php?journalid=5268&page=journalapp&view=detail"
"1326-3390","Journal of the Australian Traditional-Medicine Society","J AUST TRADIT-MED SO","无",0,0,NA,NA,0.09,"未录","","",NA,NA,"Quarterly","29",1996,NA,"No","容易",">12周，或约稿",3093,"https://www.letpub.com.cn/index.php?journalid=5269&page=journalapp&view=detail"
"1310-4772","Journal of the Balkan Tribological Association","J BALK TRIBOL ASSOC","无",0,0,NA,11,0.29,"未录","","",NA,NA,"Quarterly","88",0,"BULGARIA","No","容易","约3.0个月",18712,"https://www.letpub.com.cn/index.php?journalid=5270&page=journalapp&view=detail"
"0103-5053","JOURNAL OF THE BRAZILIAN CHEMICAL SOCIETY","J BRAZIL CHEM SOC","SCI/SCIE",1.444,1.465,7.8,58,1.46,"4区","化学","化学综合","否","否","Bimonthly","279",1990,"BRAZIL","Yes","容易","一般,3-6周",9978,"https://www.letpub.com.cn/index.php?journalid=5271&page=journalapp&view=detail"
"1678-5878","Journal of the Brazilian Society of Mechanical Sciences and Engineering","J BRAZ SOC MECH SCI","SCIE",1.627,1.482,16.3,25,1.47,"4区","工程技术","工程：机械","否","否","Quarterly","398",0,"BRAZIL","No","容易","较慢,6-12周",14986,"https://www.letpub.com.cn/index.php?journalid=5272&page=journalapp&view=detail"
"1488-2159","JOURNAL OF THE CANADIAN DENTAL ASSOCIATION","J CAN DENT ASSOC","SCIE",0.978,0.694,9.1,49,0.69,"4区","医学","牙科与口腔外科","否","否","Monthly","11",1979,"CANADA","Yes","容易",">12周，或约稿",3560,"https://www.letpub.com.cn/index.php?journalid=5273&page=journalapp&view=detail"
